question_id	question_rank	document_title	paragraph_index
1	1	Association_football	18
1	2	Canadian_football	8
1	3	Association_football	21
1	4	Canadian_football	16
1	5	Tibet	10
4	1	BeiDou_Navigation_Satellite_System	7
4	2	BeiDou_Navigation_Satellite_System	18
4	3	BeiDou_Navigation_Satellite_System	14
4	4	BeiDou_Navigation_Satellite_System	10
4	5	BeiDou_Navigation_Satellite_System	1
7	1	Beyoncé	16
7	2	Beyoncé	54
7	3	Beyoncé	50
7	4	Beyoncé	24
7	5	Beyoncé	64
10	1	Roman_Republic	26
10	2	Roman_Republic	45
10	3	Roman_Republic	47
10	4	Roman_Republic	48
10	5	Roman_Republic	27
13	1	Mali	10
13	2	Sahara	5
13	3	Jehovah%27s_Witnesses	24
13	4	Chihuahua_(state)	62
13	5	Chihuahua_(state)	39
16	1	Oklahoma_City	11
16	2	Atlantic_City,_New_Jersey	24
16	3	Richmond,_Virginia	14
16	4	Detroit	1
16	5	Oklahoma	2
19	1	Xbox_360	10
19	2	Xbox_360	14
19	3	Xbox_360	5
19	4	Xbox_360	11
19	5	Xbox_360	1
22	1	Neptune	28
22	2	Neptune	10
22	3	Neptune	26
22	4	Neptune	32
22	5	Neptune	18
25	1	Nigeria	29
25	2	Royal_Dutch_Shell	8
25	3	Asphalt	3
25	4	Asphalt	9
25	5	Royal_Dutch_Shell	0
28	1	New_Delhi	49
28	2	New_Delhi	46
28	3	New_Delhi	20
28	4	New_Delhi	50
28	5	New_Delhi	30
31	1	The_Legend_of_Zelda:_Twilight_Princess	31
31	2	Windows_8	6
31	3	The_Blitz	4
31	4	High-definition_television	11
31	5	Digestion	9
34	1	New_York_City	147
34	2	New_York_City	55
34	3	New_York_City	0
34	4	New_York_City	140
34	5	New_York_City	82
37	1	Federal_Bureau_of_Investigation	26
37	2	Federal_Bureau_of_Investigation	5
37	3	Federal_Bureau_of_Investigation	15
37	4	Federal_Bureau_of_Investigation	17
37	5	Federal_Bureau_of_Investigation	42
40	1	Chihuahua_(state)	27
40	2	Chihuahua_(state)	31
40	3	Chihuahua_(state)	44
40	4	Chihuahua_(state)	42
40	5	Chihuahua_(state)	5
43	1	Middle_Ages	4
43	2	Late_Middle_Ages	3
43	3	Middle_Ages	6
43	4	Late_Middle_Ages	4
43	5	Middle_Ages	0
46	1	Richard_Feynman	1
46	2	Richard_Feynman	30
46	3	Richard_Feynman	31
46	4	Richard_Feynman	16
46	5	Richard_Feynman	19
49	1	Pub	24
49	2	Pub	51
49	3	Pub	28
49	4	Pub	56
49	5	Pub	26
52	1	BeiDou_Navigation_Satellite_System	0
52	2	BeiDou_Navigation_Satellite_System	7
52	3	BeiDou_Navigation_Satellite_System	1
52	4	BeiDou_Navigation_Satellite_System	2
52	5	BeiDou_Navigation_Satellite_System	12
55	1	Universal_Studios	30
55	2	Universal_Studios	29
55	3	Universal_Studios	37
55	4	Sony_Music_Entertainment	23
55	5	IPod	28
58	1	Renewable_energy_commercialization	23
58	2	Time	12
58	3	God	22
58	4	Wood	24
58	5	Windows_8	17
61	1	Gramophone_record	28
61	2	Gramophone_record	19
61	3	Gramophone_record	29
61	4	Gramophone_record	23
61	5	Gramophone_record	25
64	1	Russian_Soviet_Federative_Socialist_Republic	20
64	2	Tajikistan	13
64	3	Russian_Soviet_Federative_Socialist_Republic	17
64	4	Russian_Soviet_Federative_Socialist_Republic	16
64	5	Russian_Soviet_Federative_Socialist_Republic	2
67	1	Tuvalu	14
67	2	Alfred_North_Whitehead	6
67	3	Tuvalu	47
67	4	Tuvalu	8
67	5	Tuvalu	46
70	1	Elizabeth_II	42
70	2	History_of_science	62
70	3	History_of_science	0
70	4	Elizabeth_II	0
70	5	Pub	1
73	1	The_Blitz	4
73	2	The_Blitz	14
73	3	The_Blitz	16
73	4	The_Blitz	15
73	5	The_Blitz	7
76	1	Miami	41
76	2	London	48
76	3	USB	16
76	4	USB	3
76	5	Compact_disc	15
79	1	Child_labour	5
79	2	Royal_assent	9
79	3	Child_labour	23
79	4	Child_labour	15
79	5	Child_labour	1
82	1	Canadian_Armed_Forces	41
82	2	Computer_security	17
82	3	Computer_security	19
82	4	Computer_security	12
82	5	George_VI	13
85	1	Old_English	6
85	2	Dutch_language	8
85	3	Dutch_language	16
85	4	Old_English	13
85	5	Dutch_language	9
88	1	Spanish_language_in_the_United_States	11
88	2	United_States_Army	4
88	3	Spanish_language_in_the_United_States	8
88	4	Israel	64
88	5	New_York_City	18
91	1	Great_power	19
91	2	Cyprus	42
91	3	Greece	31
91	4	Capital_punishment_in_the_United_States	23
91	5	European_Central_Bank	11
94	1	Guinea-Bissau	34
94	2	Greece	58
94	3	Oklahoma	37
94	4	Southern_Europe	21
94	5	Catalan_language	0
97	1	Infection	6
97	2	Diarrhea	14
97	3	Diarrhea	13
97	4	Infection	1
97	5	Infection	2
100	1	Sino-Tibetan_relations_during_the_Ming_dynasty	8
100	2	Sino-Tibetan_relations_during_the_Ming_dynasty	4
100	3	Qing_dynasty	61
100	4	2008_Sichuan_earthquake	48
100	5	Qing_dynasty	0
103	1	Military_history_of_the_United_States	39
103	2	Seven_Years%27_War	4
103	3	Richmond,_Virginia	36
103	4	Crimean_War	28
